close,date,high,low,open,p_change,volume,p_change2,p_change_final,cb_pos_pchange
2668.97,2018-08-17,2730.33,2665.59,2723.89,-1.34,11244530000.0,-0.66,-2.0,0.09
2705.19,2018-08-16,2732.95,2672.74,2691.43,-0.66,12027787500.0,-2.08,-2.74,0.06
2723.26,2018-08-15,2777.7,2721.24,2777.25,-2.08,11616178800.0,-0.18,-2.26,0.07
2780.96,2018-08-14,2789.44,2766.57,2780.74,-0.18,10957107500.0,-0.34,-0.52,0.37
2785.87,2018-08-13,2789.8,2742.56,2769.02,-0.34,12753223800.0,0.03,-0.31,0.41
2795.31,2018-08-10,2806.11,2777.51,2791.4,0.03,12153223800.0,1.83,1.86,0.69
2794.38,2018-08-09,2801.66,2726.22,2729.58,1.83,15166033800.0,-1.27,0.56,0.56
2744.07,2018-08-08,2779.91,2741.07,2771.13,-1.27,14768871200.0,2.74,1.47,0.62
2779.37,2018-08-07,2779.37,2696.04,2711.74,2.74,14957973800.0,-1.29,1.45,0.63
2705.16,2018-08-06,2760.47,2692.32,2736.53,-1.29,12975306200.0,-1.0,-2.29,0.07
2740.44,2018-08-03,2777.66,2740.43,2763.4,-1.0,12700636200.0,-2.0,-3.0,0.06
2768.02,2018-08-02,2815.34,2726.48,2815.34,-2.0,17417900000.0,-1.8,-3.8,0.05
2824.53,2018-08-01,2897.4,2823.93,2882.51,-1.8,14951435000.0,0.26,-1.54,0.21
2876.4,2018-07-31,2884.68,2854.32,2866.9,0.26,11893111200.0,-0.16,0.1,0.55
2869.05,2018-07-30,2896.01,2850.3,2871.94,-0.16,15165225000.0,-0.3,-0.46,0.43
2873.59,2018-07-27,2889.69,2864.11,2879.69,-0.3,14637161200.0,-0.74,-1.04,0.3
2882.23,2018-07-26,2915.3,2875.7,2905.79,-0.74,16842820000.0,-0.07,-0.81,0.36
2903.65,2018-07-25,2912.31,2894.04,2911.45,-0.07,16780021200.0,1.61,1.54,0.73
2905.56,2018-07-24,2911.46,2862.27,2862.27,1.61,22957830000.0,1.07,2.68,0.79
2859.54,2018-07-23,2863.57,2809.62,2815.2,1.07,17338280000.0,2.05,3.12,0.79
2829.27,2018-07-20,2837.86,2753.84,2769.75,2.05,14590768800.0,-0.53,1.52,0.69
2772.55,2018-07-19,2805.01,2764.49,2791.02,-0.53,11448648800.0,-0.39,-0.92,0.25
2787.26,2018-07-18,2818.4,2786.04,2801.78,-0.39,12096116200.0,-0.56,-0.95,0.27
2798.13,2018-07-17,2806.92,2774.76,2806.89,-0.56,10540922500.0,-0.6,-1.16,0.23
2814.04,2018-07-16,2837.51,2804.49,2827.08,-0.6,10776715000.0,-0.23,-0.83,0.32
2831.18,2018-07-13,2835.46,2818.85,2831.43,-0.23,11768935000.0,2.16,1.93,0.74
2837.66,2018-07-12,2844.19,2771.04,2771.04,2.16,14698020000.0,-1.76,0.4,0.55
2777.77,2018-07-11,2794.36,2752.44,2780.7,-1.76,12682115000.0,0.45,-1.31,0.19
2827.63,2018-07-10,2828.49,2800.63,2819.71,0.45,11706275000.0,2.47,2.92,0.75
2815.11,2018-07-09,2815.79,2752.45,2752.45,2.47,12154931200.0,0.49,2.96,0.76
2747.23,2018-07-06,2768.87,2691.02,2731.35,0.49,13629437500.0,-0.92,-0.43,0.37
2733.88,2018-07-05,2777.52,2727.94,2755.34,-0.92,12922611200.0,-1.0,-1.92,0.11
2759.13,2018-07-04,2793.18,2754.16,2776.63,-1.0,12326217500.0,0.41,-0.59,0.33
2786.89,2018-07-03,2786.89,2722.45,2774.57,0.41,14249846200.0,-2.52,-2.11,0.12
2775.56,2018-07-02,2845.68,2756.82,2841.58,-2.52,13703503800.0,2.17,-0.35,0.39
2847.42,2018-06-29,2848.37,2782.38,2789.81,2.17,12567168800.0,-0.93,1.24,0.67
2786.9,2018-06-28,2825.99,2782.45,2799.9,-0.93,11835791200.0,-1.1,-2.03,0.13
2813.18,2018-06-27,2854.26,2798.8,2842.4,-1.1,12942083800.0,-0.52,-1.62,0.18
2844.51,2018-06-26,2850.24,2803.79,2829.99,-0.52,12591846200.0,-1.05,-1.57,0.21
2859.34,2018-06-25,2908.62,2857.87,2903.45,-1.05,12191768800.0,0.48,-0.57,0.4
2889.76,2018-06-22,2891.97,2837.14,2855.58,0.48,12614312500.0,-1.37,-0.89,0.34
2875.81,2018-06-21,2940.59,2872.62,2912.0,-1.37,15437833800.0,0.27,-1.1,0.29
2915.73,2018-06-20,2925.56,2872.16,2889.98,0.27,14430142500.0,-3.77,-3.5,0.14
2907.82,2018-06-19,2984.97,2871.35,2982.65,-3.77,23055007500.0,-0.73,-4.5,0.12
3021.9,2018-06-15,3048.8,3008.73,3037.45,-0.73,14453257500.0,-0.18,-0.91,0.34
3044.16,2018-06-14,3066.05,3032.41,3038.07,-0.18,11546948800.0,-0.97,-1.15,0.3
3049.8,2018-06-13,3071.46,3044.12,3071.46,-0.97,11960788800.0,0.89,-0.08,0.54
3079.8,2018-06-12,3081.45,3034.1,3053.03,0.89,11327510000.0,-0.47,0.42,0.63
3052.78,2018-06-11,3063.61,3037.91,3057.34,-0.47,10856378800.0,-1.36,-1.83,0.23
3067.15,2018-06-08,3100.68,3053.29,3100.6,-1.36,13468822500.0,-0.18,-1.54,0.28
3109.5,2018-06-07,3128.72,3105.58,3121.18,-0.18,12778497500.0,0.03,-0.15,0.56
3115.18,2018-06-06,3117.53,3103.53,3109.17,0.03,12019613800.0,0.74,0.77,0.72
3114.21,2018-06-05,3114.77,3080.05,3088.01,0.74,11873558800.0,0.52,1.26,0.76
3091.19,2018-06-04,3098.4,3076.99,3083.43,0.52,11459390000.0,-0.66,-0.14,0.56
3075.14,2018-06-01,3102.09,3059.79,3084.75,-0.66,12987220000.0,1.78,1.12,0.71
3095.47,2018-05-31,3098.08,3054.27,3061.83,1.78,14047553800.0,-2.53,-0.75,0.42
3041.44,2018-05-30,3085.4,3041.0,3081.14,-2.53,15511512500.0,-0.47,-3.0,0.16
3120.46,2018-05-29,3143.21,3112.15,3129.62,-0.47,13571780000.0,-0.2,-0.67,0.45
3135.08,2018-05-28,3149.66,3115.96,3136.81,-0.2,12875591200.0,-0.42,-0.62,0.49
3141.3,2018-05-25,3156.73,3131.07,3148.41,-0.42,12861083800.0,-0.45,-0.87,0.45
3154.65,2018-05-24,3173.53,3152.07,3167.94,-0.45,12408580000.0,-1.41,-1.86,0.32
3168.96,2018-05-23,3205.44,3168.96,3205.44,-1.41,15780765000.0,0.02,-1.39,0.39
3214.35,2018-05-22,3214.59,3192.23,3211.25,0.02,14429268800.0,0.64,0.66,0.78
3213.84,2018-05-21,3219.74,3203.34,3206.18,0.64,16445941200.0,1.24,1.88,0.91
3193.3,2018-05-18,3193.45,3144.78,3151.08,1.24,13651691200.0,-0.48,0.76,0.79
3154.28,2018-05-17,3172.77,3148.62,3170.01,-0.48,11399556200.0,-0.71,-1.19,0.38
3169.57,2018-05-16,3191.95,3166.81,3180.23,-0.71,13052496200.0,0.57,-0.14,0.64
3192.12,2018-05-15,3192.81,3164.52,3180.42,0.57,12454905000.0,0.34,0.91,0.8
3174.03,2018-05-14,3183.82,3163.48,3167.04,0.34,12932735000.0,-0.35,-0.01,0.66
3163.26,2018-05-11,3180.76,3162.21,3179.8,-0.35,13065975000.0,0.48,0.13,0.69
3174.41,2018-05-10,3176.14,3155.53,3169.05,0.48,13300075000.0,-0.07,0.41,0.72
3159.15,2018-05-09,3165.37,3145.66,3160.14,-0.07,12263726200.0,0.79,0.72,0.75
3161.5,2018-05-08,3169.7,3134.06,3135.3,0.79,14692706200.0,1.48,2.27,0.9
3136.64,2018-05-07,3136.84,3091.66,3094.9,1.48,13894818800.0,-0.32,1.16,0.78
3091.03,2018-05-04,3104.09,3086.78,3093.12,-0.32,11871126200.0,0.64,0.32,0.63
3100.86,2018-05-03,3105.66,3056.16,3074.52,0.64,13998562500.0,-0.03,0.61,0.68
3081.18,2018-05-02,3097.6,3064.76,3087.41,-0.03,13418456200.0,0.23,0.2,0.62
3082.23,2018-04-27,3088.03,3049.91,3082.41,0.23,13122563800.0,-1.38,-1.15,0.33
3075.03,2018-04-26,3121.93,3067.93,3119.5,-1.38,13397273800.0,-0.35,-1.73,0.25
3117.97,2018-04-25,3122.91,3107.0,3112.4,-0.35,12731105000.0,1.99,1.64,0.81
3128.93,2018-04-24,3136.04,3069.75,3069.75,1.99,16227480000.0,-0.12,1.87,0.83
3068.01,2018-04-23,3085.06,3045.94,3063.44,-0.12,13168633800.0,-1.47,-1.59,0.26
3071.54,2018-04-20,3111.17,3065.92,3105.46,-1.47,15514708800.0,0.84,-0.63,0.42
3117.38,2018-04-19,3127.44,3090.29,3094.27,0.84,16005680000.0,0.8,1.64,0.81
3091.4,2018-04-18,3096.89,3041.63,3091.91,0.8,15929050000.0,-1.41,-0.61,0.46
3066.8,2018-04-17,3118.76,3064.03,3112.97,-1.41,14722285000.0,-1.53,-2.94,0.18
3110.65,2018-04-16,3153.11,3096.1,3152.89,-1.53,15441570000.0,-0.66,-2.19,0.24
3159.05,2018-04-13,3197.9,3155.51,3192.04,-0.66,12755231200.0,-0.87,-1.53,0.36
3180.16,2018-04-12,3205.25,3177.05,3203.28,-0.87,14823131200.0,0.56,-0.31,0.62
3208.08,2018-04-11,3220.85,3191.59,3197.37,0.56,17586720000.0,1.66,2.22,0.93
3190.32,2018-04-10,3190.65,3139.08,3144.26,1.66,16820136200.0,0.23,1.89,0.9
3138.29,2018-04-09,3146.09,3110.3,3125.44,0.23,13960862500.0,-0.18,0.05,0.64
3131.11,2018-04-04,3163.34,3128.87,3147.05,-0.18,14697668800.0,-0.84,-1.02,0.4
3136.63,2018-04-03,3144.33,3119.13,3130.01,-0.84,15221667500.0,-0.18,-1.02,0.41
3163.18,2018-04-02,3192.34,3159.99,3169.78,-0.18,17772777500.0,0.27,0.09,0.66
3168.9,2018-03-30,3177.72,3152.89,3161.79,0.27,15464660000.0,1.23,1.5,0.84
3160.53,2018-03-29,3174.51,3098.25,3127.26,1.23,17031238800.0,-1.4,-0.17,0.6
3122.29,2018-03-28,3165.21,3117.53,3130.57,-1.4,16350048800.0,1.05,-0.35,0.55
3166.65,2018-03-27,3172.78,3143.57,3164.8,1.05,18907338800.0,-0.6,0.45,0.73
3133.72,2018-03-26,3134.28,3091.46,3117.32,-0.6,18636635000.0,-3.39,-3.99,0.2
3152.76,2018-03-23,3188.24,3110.66,3172.77,-3.39,27553202500.0,-0.53,-3.92,0.23
3263.48,2018-03-22,3288.8,3242.76,3281.27,-0.53,15043297500.0,-0.29,-0.82,0.53
3280.95,2018-03-21,3314.21,3268.88,3299.73,-0.29,16839827500.0,0.35,0.06,0.71
3290.64,2018-03-20,3292.57,3252.43,3257.22,0.35,13988107500.0,0.29,0.64,0.81
3279.25,2018-03-19,3280.57,3251.05,3264.93,0.29,13795497500.0,-0.65,-0.36,0.63
3269.88,2018-03-16,3300.57,3269.28,3290.21,-0.65,14120365000.0,-0.01,-0.66,0.55
3291.11,2018-03-15,3297.1,3273.2,3277.51,-0.01,14857360000.0,-0.57,-0.58,0.6
3291.38,2018-03-14,3304.98,3287.36,3298.67,-0.57,15749108800.0,-0.49,-1.06,0.49
3310.24,2018-03-13,3333.88,3307.38,3324.12,-0.49,17711435000.0,0.59,0.1,0.74
3326.7,2018-03-12,3333.56,3313.56,3319.21,0.59,20653243800.0,0.57,1.16,0.88
3307.17,2018-03-09,3309.72,3283.56,3291.43,0.57,16842451200.0,0.51,1.08,0.85
3288.41,2018-03-08,3289.5,3261.55,3268.35,0.51,14982752500.0,-0.55,-0.04,0.7
3271.67,2018-03-07,3308.41,3264.76,3288.86,-0.55,16866502500.0,1.0,0.45,0.77
3289.64,2018-03-06,3290.25,3243.65,3266.49,1.0,19535805000.0,0.07,1.07,0.84
3256.93,2018-03-05,3269.4,3236.72,3255.87,0.07,14483598800.0,-0.59,-0.52,0.6
3254.53,2018-03-02,3269.94,3242.27,3248.45,-0.59,15086106200.0,0.44,-0.15,0.65
3273.75,2018-03-01,3280.15,3228.58,3235.09,0.44,15909832500.0,-0.99,-0.55,0.59
